,Open,High,Low,Close,Adj Close,Volume,date,ticker
0,26.450001,27.1,26.34,27.030001000000002,27.030001000000002,275200,2018-01-03,PRO
0,31.16,31.16,30.0,30.780001000000002,30.780001000000002,168000,2018-12-29,PRO
0,9.99,10.13,9.95,10.0,9.775414999999999,67600,2018-01-03,MCBC
0,9.68,9.94,9.52,9.53,9.53,36300,2018-12-29,MCBC
0,9.99,10.13,9.95,10.0,9.775414999999999,67600,2018-01-03,MCBC
0,9.68,9.94,9.52,9.53,9.53,36300,2018-12-29,MCBC
0,1.99,2.05,1.96,1.97,1.97,9600,2018-01-03,LINC
0,2.31,2.39,2.28,2.29,2.29,3300,2018-12-29,LINC
0,38.799999,39.0,38.52,38.860001000000004,37.986839,3326900,2018-01-03,SYF
0,23.540001,23.809998999999998,23.15,23.5,23.5,5934400,2018-12-29,SYF
0,5.9,6.25,5.9,6.23,6.23,131400,2018-01-03,FLDM
0,8.52,8.99,8.36,8.59,8.59,681300,2018-12-29,FLDM
0,28.25,28.5,27.73,28.049999,28.049999,420400,2018-01-03,ECHO
0,20.07,20.48,19.780001000000002,20.16,20.16,206400,2018-12-29,ECHO
0,48.41,50.490002000000004,48.169998,50.200001,50.200001,2876100,2018-01-03,DISH
0,24.52,25.35,24.450001,24.959999,24.959999,3825300,2018-12-29,DISH
0,48.41,50.490002000000004,48.169998,50.200001,50.200001,2876100,2018-01-03,DISH
0,24.52,25.35,24.450001,24.959999,24.959999,3825300,2018-12-29,DISH
0,2.5,2.61,2.48,2.57,2.49095,2876600,2018-01-03,NAT
0,2.05,2.07,1.97,1.99,1.99,1624000,2018-12-29,NAT
0,2.5,2.61,2.48,2.57,2.49095,2876600,2018-01-03,NAT
0,2.05,2.07,1.97,1.99,1.99,1624000,2018-12-29,NAT
0,43.759997999999996,44.459998999999996,43.560001,44.349998,44.349998,1288700,2018-01-03,FTNT
0,70.75,71.660004,69.150002,70.339996,70.339996,1081600,2018-12-29,FTNT
0,43.759997999999996,44.459998999999996,43.560001,44.349998,44.349998,1288700,2018-01-03,FTNT
0,70.75,71.660004,69.150002,70.339996,70.339996,1081600,2018-12-29,FTNT
0,59.43,59.509997999999996,58.549999,59.040001000000004,55.989334,4103600,2018-01-03,GIS
0,39.080002,39.459998999999996,38.5,38.759997999999996,38.297783,5779600,2018-12-29,GIS
0,7.9,8.25,7.9,8.1,8.1,303900,2018-01-03,ASC
0,4.55,4.61,4.22,4.48,4.48,609100,2018-12-29,ASC
0,30.620001000000002,30.74,29.809998999999998,30.09,28.81447,1038600,2018-01-03,WRE
0,23.51,23.83,23.02,23.08,23.08,819400,2018-12-29,WRE
0,2.34,2.4,2.33,2.35,2.35,55100,2018-01-03,QRHC
0,1.27,1.32,1.26,1.31,1.31,22700,2018-12-29,QRHC
0,80.860001,81.360001,80.43,80.5,79.651093,2107900,2018-01-03,ROST
0,82.129997,82.83000200000001,80.510002,81.58000200000001,81.58000200000001,2258800,2018-12-29,ROST
0,20.65,21.5,20.65,21.450001,21.450001,633800,2018-01-03,HIBB
0,14.24,14.48,13.89,14.35,14.35,566200,2018-12-29,HIBB
0,20.65,21.5,20.65,21.450001,21.450001,633800,2018-01-03,HIBB
0,14.24,14.48,13.89,14.35,14.35,566200,2018-12-29,HIBB
0,104.839996,104.839996,99.199997,99.459999,97.55117800000001,979900,2018-01-03,NTRS
0,83.019997,83.989998,82.260002,82.769997,82.769997,1475400,2018-12-29,NTRS
0,150.0,153.300003,147.720001,152.91000400000001,152.91000400000001,1382000,2018-01-03,VRTX
0,163.520004,164.83999599999999,160.380005,161.419998,161.419998,966700,2018-12-29,VRTX
0,62.099998,62.5,60.849998,61.349998,61.349998,463300,2018-01-03,WAGE
0,26.700001,27.469998999999998,26.07,26.799999,26.799999,440600,2018-12-29,WAGE
0,19.85,20.1,19.299999,19.799999,19.799999,147400,2018-01-03,IO
0,4.82,5.8,4.78,5.56,5.56,183400,2018-12-29,IO
0,19.85,20.1,19.299999,19.799999,19.799999,147400,2018-01-03,IO
0,4.82,5.8,4.78,5.56,5.56,183400,2018-12-29,IO
0,121.0,124.269997,120.559998,124.059998,122.99758899999999,1765300,2018-01-03,ZBH
0,102.0,103.989998,101.559998,102.650002,102.650002,1860000,2018-12-29,ZBH
0,48.200001,48.220001,47.049999,47.5,46.97744,118400,2018-01-03,BMI
0,48.619999,49.799999,47.57,48.07,48.07,207800,2018-12-29,BMI
0,48.200001,48.220001,47.049999,47.5,46.97744,118400,2018-01-03,BMI
0,48.619999,49.799999,47.57,48.07,48.07,207800,2018-12-29,BMI
0,48.200001,48.220001,47.049999,47.5,46.97744,118400,2018-01-03,BMI
0,48.619999,49.799999,47.57,48.07,48.07,207800,2018-12-29,BMI
0,111.620003,113.529999,111.260002,111.589996,111.589996,442900,2018-01-03,DY
0,52.549999,53.23,51.16,52.040001000000004,52.040001000000004,323900,2018-12-29,DY
0,59.09,61.849998,58.73,61.279999,61.279999,915500,2018-01-03,NUVA
0,48.599998,49.220001,47.290001000000004,48.369999,48.369999,648000,2018-12-29,NUVA
0,59.09,61.849998,58.73,61.279999,61.279999,915500,2018-01-03,NUVA
0,48.599998,49.220001,47.290001000000004,48.369999,48.369999,648000,2018-12-29,NUVA
0,59.09,61.849998,58.73,61.279999,61.279999,915500,2018-01-03,NUVA
0,48.599998,49.220001,47.290001000000004,48.369999,48.369999,648000,2018-12-29,NUVA
0,47.389998999999996,47.43,46.860001000000004,46.950001,45.188824,1689300,2018-01-03,CMS
0,49.630001,49.950001,49.16,49.369999,49.002891999999996,2788300,2018-12-29,CMS
0,55.669998,56.189999,54.900002,55.849998,55.241409,103900,2018-01-03,ATNI
0,71.510002,73.029999,70.339996,72.400002,72.400002,85700,2018-12-29,ATNI
0,58.68,59.43,58.450001,58.650002,57.283519999999996,440100,2018-01-03,TEN
